ari_all,ari_original,contaminated_destinations_all,contaminated_destinations_original,fake_absorption_rate_all,fake_absorption_rate_original,fake_only_destinations_all,fake_only_destinations_original,fake_rejection_rate_all,fake_rejection_rate_original,false_destination_rate_all,false_destination_rate_original,genuine_rejection_rate_all,genuine_rejection_rate_original,mean_degree,method,n_clusters_all,n_clusters_original,n_edges,n_evaluated_reports,n_original_reports,n_unassigned_all,n_unassigned_original,nmi_all,nmi_original,pair_f1_all,pair_f1_original,retained_edge_fraction,run_id,runtime_seconds,scenario,seed,threshold
0.8294589574997709,0.8294589574997709,0,0,0.0,0.0,3,3,0.0,0.0,17.647058823529413,17.647058823529413,0.0,0.0,9.918238993710691,product_cij_louvain,17,17,1577.0,318,318,0,0,0.949653808836539,0.949653808836539,0.8415094339622642,0.8415094339622642,0.031287820169434356,run_041,0.04747655400001349,baseline,41,0.26384137499722815
0.8294589574997709,0.8294589574997709,0,0,0.0,0.0,3,3,0.0,0.0,17.647058823529413,17.647058823529413,0.0,0.0,9.528301886792454,additive_cij_louvain,17,17,1515.0,318,318,0,0,0.949653808836539,0.949653808836539,0.8415094339622642,0.8415094339622642,0.03005773465865127,run_041,0.05317422799998894,baseline,41,1.545533950366735
0.8294589574997709,0.8294589574997709,0,0,0.0,0.0,3,3,0.0,0.0,17.647058823529413,17.647058823529413,0.0,0.0,9.924528301886792,additive_cij_louvain_matched_density,17,17,1578.0,318,318,0,0,0.949653808836539,0.949653808836539,0.8415094339622642,0.8415094339622642,0.03130766025831796,run_041,0.04048421800007418,baseline,41,0.7399289869848306
0.8294589574997709,0.8294589574997709,0,0,0.0,0.0,3,3,0.0,0.0,17.647058823529413,17.647058823529413,0.0,0.0,9.918238993710691,product_cij_leiden,17,17,1577.0,318,318,0,0,0.949653808836539,0.949653808836539,0.8415094339622642,0.8415094339622642,0.031287820169434356,run_041,0.032108725999933085,baseline,41,0.26384137499722815
0.673897305575186,0.673897305575186,0,0,0.0,0.0,3,3,0.0,0.0,21.428571428571427,21.428571428571427,0.0,0.0,,geo_time_dbscan,14,14,,318,318,0,0,0.9024048249284098,0.9024048249284098,0.7003218702354734,0.7003218702354734,,run_041,0.0047538320000057865,baseline,41,1.0
0.8073023448615826,0.8019342639877877,0,0,0.0,0.0,3,3,0.0,0.0,15.0,15.0,0.0,0.0,10.4937106918239,product_cij_louvain,20,20,3337.0,636,318,0,0,0.9295281510155006,0.9295281510155008,0.8201843110811418,0.8148148148148149,0.016525528648541572,run_041,0.19555863200002932,exact_transport_copy_2x,41,0.2898258229785218
0.7936223728524534,0.787786152251445,0,0,0.0,0.0,3,3,0.0,0.0,15.0,15.0,0.0,0.0,10.421383647798741,additive_cij_louvain,20,20,3314.0,636,318,0,0,0.9297994636463502,0.9297994636463502,0.8072453861927547,0.8014084507042254,0.016411627791809043,run_041,0.20891512299999704,exact_transport_copy_2x,41,1.554383909897301
0.8083643034710268,0.8026847346658154,0,0,0.0,0.0,3,3,0.0,0.0,14.285714285714286,14.285714285714286,0.0,0.0,10.452830188679245,additive_cij_louvain_matched_density,21,21,3324.0,636,318,0,0,0.9214533494516094,0.9214533494516094,0.820494531621493,0.8148148148148148,0.016461149903431883,run_041,0.22022735700011253,exact_transport_copy_2x,41,0.7461626976004626
0.8123518677283232,0.8067701034822884,0,0,0.0,0.0,3,3,0.0,0.0,14.285714285714286,14.285714285714286,0.0,0.0,10.4937106918239,product_cij_leiden,21,21,3337.0,636,318,0,0,0.9224200656030042,0.9224200656030042,0.82418893129771,0.8186069406842236,0.016525528648541572,run_041,0.13695098000016515,exact_transport_copy_2x,41,0.2898258229785218
0.6801909415231524,0.673897305575186,0,0,0.0,0.0,3,3,0.0,0.0,21.428571428571427,21.428571428571427,0.0,0.0,,geo_time_dbscan,14,14,,636,318,0,0,0.9024048249284098,0.9024048249284098,0.7067307692307692,0.7003218702354734,,run_041,0.015044781000142393,exact_transport_copy_2x,41,1.0
